duo,matches_count,avg,median,max
Bas & Diederik,8,21060,8208,78753
Corné & Diederik,12,19206.58,16379,70621
Diederik & Frank,11,17202.82,2138,71250
Daaf & Diederik,27,14972.7,4669,63480
?? & Diederik,1,4386,4386,4386
Diederik & Sjors,2,1160,1160,2273
Corné & Daaf,1,21,21,21
