commentator,matches_count,min,avg,median,max
Bas,8,12,10530.0,4104,39376
Frank,11,9,8601.41,1069,35625
Corné,14,10,8248.5,3366,35310
Diederik,63,6,8017.29,2193,39376
Daaf,28,6,7219.36,1865,31740
??,1,2193,2193.0,2193,2193
Sjors,2,23,580.0,580,1136
