kickoff_block,matches_count,min,avg,median,max
15:00-17:59,13,24,24830.15,2138,78753
12:00-14:59,19,112,20028.21,12541,63480
20:00-20:59,4,130,12978.75,12112,27561
18:00-19:59,10,38,12657.6,8545,32921
21:00+,12,13,11703.92,8264,40187
