commentator,matches_count,min,avg,median,max
Bas,8,24,21060,8208,78753
Frank,11,18,17202.82,2138,71250
Corné,14,21,16480.64,6733,70621
Diederik,63,13,15947.13,4386,78753
Daaf,28,13,14438.71,3731,63480
??,1,4386,4386,4386,4386
Sjors,2,47,1160,1160,2273
