commentator,matches_count,min,avg,median,max
Errol,1,25878,25878.5,25878,25878
Bas,23,6270,18447.63,19414,39376
Sjors,12,8789,17307.04,18927,27047
Diederik,88,2335,16141.82,14096,39376
Corné,34,5922,16012.07,15014,35310
Frank,8,7180,15170.56,11376,35625
Daaf,19,2335,14112.5,13767,31740
Anne,8,7901,12889.88,11816,25964
Tom,1,12620,12620.0,12620,12620
