weekday,matches_count,min,avg,median,max
Tuesday,4,16199,23647.25,19101,40187
Wednesday,11,14361,29198.45,20927,53547
Thursday,19,11844,20607.16,18125,48549
Saturday,21,4670,32846.43,29971,78753
Sunday,42,13343,38831.12,37234,70621
