kickoff,matches_count,min,avg,median,max
12:15,6,5337,24434.67,25066,47067
14:00,1,4670,4670,4670,4670
14:30,16,10283,34044.25,32176,62602
15:30,1,51757,51757,51757,51757
16:30,5,18336,40467.4,37630,71250
16:45,15,18000,40398.6,45101,59441
18:00,1,46557,46557,46557,46557
18:45,13,15280,25022.62,21518,53728
20:00,12,12541,29138,25638,53547
20:30,1,20042,20042,20042,20042
20:45,1,17584,17584,17584,17584
21:00,21,11844,22314.71,20218,48549
